City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kieta,PG,84.04,light rain,-6.2167,155.6333,Uruna Bay Retreat
2,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
3,Hirara,JP,75.47,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
4,Cabo San Lucas,MX,88.61,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
12,Morant Bay,JM,80.22,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
18,Tuy Hoa,VN,76.44,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
22,Marica,BR,75.11,scattered clouds,-22.9194,-42.8186,Marica Hills
26,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
29,Port Hedland,AU,87.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
39,Zvishavane,ZW,76.23,clear sky,-20.3267,30.0665,Hotel Boutique Runde
44,Butaritari,KI,82.31,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
45,Lorengau,PG,84.54,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
46,Buala,SB,86.81,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
48,Faanui,PF,80.87,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
55,Muli,MV,82.33,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
56,Kahului,US,86.02,few clouds,20.8947,-156.47,Maui Seaside Hotel
57,Oussouye,SN,78.84,overcast clouds,12.485,-16.5469,Auberge du Routard
59,Harper,LR,78.37,broken clouds,4.375,-7.7169,Screensaver
61,Victoria,HK,75.38,scattered clouds,22.2855,114.1577,Mini Hotel Central
62,Mahajanga,MG,77.02,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
64,Marapanim,BR,76.33,few clouds,-0.7175,-47.6997,Ecomangue Pousada
67,Kapaa,US,82.72,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
69,Tual,ID,83.03,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
71,Krabi,TH,81.99,light rain,8.0726,98.9105,Tharapark View Hotel
73,Iseyin,NG,75.92,broken clouds,7.9667,3.6,Momak Hotels And Suites
75,Gamba,GA,75.34,overcast clouds,-2.65,10.0,
82,Gouloure,BF,78.26,broken clouds,12.2306,-1.9289,
89,Hilo,US,79.79,mist,19.7297,-155.09,Hilo Hawaiian Hotel
98,Dingle,PH,80.78,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
108,Port Moresby,PG,87.22,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
111,Kudahuvadhoo,MV,82.15,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
113,Port Blair,IN,78.84,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
115,Ndele,CF,75.51,scattered clouds,8.4109,20.6473,
116,Acarau,BR,80.87,clear sky,-2.8856,-40.12,castelo pizzaria
117,San Policarpo,PH,82.11,overcast clouds,12.1791,125.5072,Agapita M. Nicart
118,Pangai,TO,82.51,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
119,Atuona,PF,77.92,few clouds,-9.8,-139.0333,Villa Enata
126,Loanda,AO,76.98,moderate rain,-8.8368,13.2343,Hotel Fórum
130,Khakhea,BW,79.3,broken clouds,-24.6895,23.494,
134,Dalby,AU,81.99,clear sky,-27.1833,151.2667,Kobbers Motor Inn Dalby
138,Pochutla,MX,82.22,clear sky,15.7432,-96.4661,Hotel Posada San Jose
139,Manokwari,ID,82.06,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
140,Hithadhoo,MV,81.68,few clouds,-0.6,73.0833,Scoop Guest House
142,Thinadhoo,MV,82.33,clear sky,0.5333,72.9333,
159,Adrar,MR,77.23,overcast clouds,20.5022,-10.0711,
168,Siyabuswa,ZA,75.83,broken clouds,-25.1132,29.0445,Survivor Africa Game Lodge
177,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
182,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
186,Phangnga,TH,81.91,overcast clouds,8.4509,98.5298,Sunimit Mansion
191,Corralillo,CU,77.14,overcast clouds,22.9819,-80.5856,Hostal De Pedri
201,Vao,NC,76.96,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
202,Vanimo,PG,81.09,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
210,Hobyo,SO,78.89,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
211,Kavieng,PG,84.4,light rain,-2.5744,150.7967,Nusa Island Retreat
220,Sao Filipe,CV,76.23,overcast clouds,14.8961,-24.4956,Hotel Xaguate
229,Farim,GW,77.29,broken clouds,12.4839,-15.2217,
231,Fare,PF,80.96,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
235,Mogadishu,SO,78.84,overcast clouds,2.0371,45.3438,Hotel Juba
237,Sabang,ID,81.81,overcast clouds,5.8933,95.3214,Hotel Citra
238,Kalabo,ZM,77.31,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
245,Axim,GH,78.51,moderate rain,4.8699,-2.2405,Axim Beach Resort And Spa
257,Bodden Town,KY,79.93,scattered clouds,19.2833,-81.25,Will T Place
259,Itaituba,BR,77.4,overcast clouds,-4.2761,-55.9836,Hotel Campos
260,Bara,NG,75.7,broken clouds,10.3744,10.7288,
261,Maceio,BR,78.24,clear sky,-9.6658,-35.7353,Poutur Pousada
268,Quelimane,MZ,78.75,clear sky,-17.8786,36.8883,Hotel Flamingo
294,Puerto Leguizamo,CO,77.61,overcast clouds,-0.1934,-74.7819,la casona de juancho
295,Puerto Escondido,MX,83.23,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
297,Bundaberg,AU,85.21,scattered clouds,-24.85,152.35,Takalvan Motel
298,Bandarbeyla,SO,76.28,scattered clouds,9.4942,50.8122,JABIR HOTEL
299,Kawalu,ID,76.28,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
302,Poso,ID,82.53,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
308,Touros,BR,81.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
312,Saint-Louis,SN,78.44,broken clouds,16.3333,-15.0,
318,Tautira,PF,86.02,overcast clouds,-17.7333,-149.15,Pension Oaoa
324,Bowen,AU,86.22,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
329,Kampot,KH,80.65,overcast clouds,10.6167,104.1833,Two Moons Hotel
331,Monrovia,LR,79.92,overcast clouds,6.3005,-10.7969,Sunset Inn
339,Dutlwe,BW,78.6,overcast clouds,-23.9833,23.9,
341,Angoram,PG,85.77,overcast clouds,-4.0625,144.0661,
347,Yulara,AU,84.04,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
350,Teahupoo,PF,80.56,overcast clouds,-17.8333,-149.2667,Vanira Lodge
352,Puerto Colombia,CO,82.49,broken clouds,10.9878,-74.9547,Hotel El Emigrante
356,Sinnamary,GF,77.36,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
357,Emerald,AU,84.34,broken clouds,-23.5333,148.1667,The Irish Village
359,Wattegama,LK,76.12,overcast clouds,6.7989,81.4808,
360,Ouallam,NE,82.09,scattered clouds,14.3188,2.0866,
365,Amahai,ID,82.4,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
369,Davila,PH,80.58,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
371,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
372,Tame,CO,76.48,overcast clouds,6.461,-71.73,Hospedaje Santa Ana
380,Samarai,PG,84.65,broken clouds,-10.6167,150.6667,Nuli Sapi
381,Sampit,ID,76.17,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
384,Bonfim,BR,84.22,overcast clouds,3.0833,-59.95,
388,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
389,Le Port,RE,75.2,broken clouds,-20.9373,55.2919,KORBEY D'OR OUEST
405,Namatanai,PG,85.15,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
407,Mosetse,BW,77.11,broken clouds,-20.75,26.65,
408,Acapulco,MX,82.22,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
410,Malpe,IN,76.3,overcast clouds,13.35,74.7167,Hotel Sri Krishna Residency
415,Ligayan,PH,81.79,moderate rain,4.6533,119.4706,
425,Bengkulu,ID,76.96,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
427,Alice Springs,AU,76.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
431,Daru,PG,81.05,light rain,-9.0763,143.2092,Daru Lodge
441,Santa Rosa,PH,86.09,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
449,Gorontalo,ID,80.31,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
460,Cravo Norte,CO,84.13,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
461,Presidente Epitacio,BR,80.44,light rain,-21.7633,-52.1156,Hotel Itaverá
465,Bima,ID,77.05,overcast clouds,-8.4667,118.7167,Lambitu Hotel
466,Weligama,LK,77.18,moderate rain,5.9667,80.4167,Weligama Bay Resort
469,Champerico,GT,84.34,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
470,Honiara,SB,87.3,overcast clouds,-9.4333,159.95,Heritage Park Hotel
471,Boyolangu,ID,75.83,overcast clouds,-8.1181,111.8935,Yos ega cv
473,Bosaso,SO,75.0,overcast clouds,11.2842,49.1816,Red Sea Hotel
475,Kerema,PG,82.76,overcast clouds,-7.9631,145.7785,Frena Lodge
480,Kalianget,ID,78.03,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
481,Kirakira,SB,85.55,scattered clouds,-10.4544,161.9205,SanBiz Lodge
483,Biak,ID,78.39,light rain,-0.9131,122.8766,Penginapan Kim
490,Kankon,IN,76.8,overcast clouds,15.0167,74.0167,Palolem Beach Resort
492,Alofi,NU,76.86,light rain,-19.0595,-169.9187,Taloa Heights
500,Sibolga,ID,78.3,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
501,Cayenne,GF,81.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
503,Antsohihy,MG,76.41,clear sky,-14.8796,47.9875,Hotel de Ville
505,Cartagena,CO,82.02,few clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
509,Charters Towers,AU,88.09,few clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
513,Lazaro Cardenas,MX,78.82,scattered clouds,17.9583,-102.2,quinta antigua
514,Omboue,GA,75.04,overcast clouds,-1.5746,9.2618,Hotel Olako
516,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
523,Yaan,NG,75.85,broken clouds,7.3833,8.5667,
530,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
531,Aquiraz,BR,82.49,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
535,Capela,BR,78.73,overcast clouds,-10.5033,-37.0528,Recanto Tia Josi
537,San Patricio,US,76.98,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
541,Zinder,NE,78.57,overcast clouds,13.8072,8.9881,Hotel de Ville
542,Yarada,IN,79.12,mist,17.65,83.2667,MR-SAGAR_KUMAR_RTR™
543,Totness,SR,77.0,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
548,Atar,MR,78.82,overcast clouds,20.5169,-13.0499,Oumou Elghoura
550,Mount Isa,AU,85.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
553,Micheweni,TZ,79.18,overcast clouds,-4.9667,39.8333,
555,Ballina,AU,75.38,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
559,Pundaguitan,PH,82.71,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
560,Ormara,PK,75.04,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
579,Manali,IN,79.07,few clouds,13.1667,80.2667,Sarathy Lodge
584,Gold Coast,AU,78.39,scattered clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
585,Blackwater,AU,85.32,clear sky,-23.5833,148.8833,Blackwater Motor Inn
588,San Pedro,PH,85.32,few clouds,14.35,121.0167,Villa Veronica Resort Private Pool
589,Qiongshan,CN,75.18,broken clouds,20.0058,110.3542,Sun City Restaurant
593,Catuday,PH,81.37,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
595,Praia,CV,75.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
596,Vila Do Maio,CV,75.99,overcast clouds,15.1333,-23.2167,Hotel Marilu
598,Meulaboh,ID,75.18,moderate rain,4.1363,96.1285,Kost Pria
599,Katobu,ID,78.17,overcast clouds,-4.9408,122.5276,La Ode Husein
604,Bac Lieu,VN,80.73,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
607,Ahuimanu,US,83.91,broken clouds,21.4447,-157.8378,Paradise Bay Resort
611,Mayumba,GA,76.03,overcast clouds,-3.432,10.6554,LIKWALE LODGE
615,West Bay,KY,81.0,scattered clouds,19.3667,-81.4167,Calypso Cove
616,Porto Walter,BR,75.9,moderate rain,-8.2686,-72.7439,Secretaria de saúde
617,Luwuk,ID,80.85,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
621,Terra Rica,BR,78.08,overcast clouds,-22.7094,-52.6169,Victor Hotel
625,Culebra,PR,80.64,clear sky,18.303,-65.301,Palmetto Guesthouse
626,Itarema,BR,80.74,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
627,Puri,IN,76.37,few clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
628,Panlaitan,PH,83.79,overcast clouds,12.1191,119.8486,Panlaitan Cetro Beach
635,Ahome,MX,85.95,overcast clouds,25.9167,-109.1833,LA HOUSE DE LA ALEJANDRA
636,Bonthe,SL,79.39,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
639,Juba,SS,78.13,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
640,Shakawe,BW,78.71,overcast clouds,-18.3667,21.85,Ditlhapi Guest House
643,Sarangani,PH,83.25,light rain,5.4033,125.4636,Ballistic Islet
650,Iquitos,PE,77.04,light rain,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
654,Celestun,MX,76.26,clear sky,20.8667,-90.4,Posada Lilia
658,Sumbe,AO,77.07,light rain,-11.2061,13.8437,Hotel Ritz Sumbe
663,Pemangkat,ID,80.94,scattered clouds,1.1667,108.9667,Ramah Kost KITA
665,Byron Bay,AU,75.31,broken clouds,-28.65,153.6167,Backpackers Inn on the Beach
667,Mackay,AU,88.68,clear sky,-21.15,149.2,International Lodge Motel
670,Porto Novo,BJ,84.02,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
671,Ugoofaaru,MV,81.7,overcast clouds,5.6667,73.0,Ungoofaaru Inn
672,Gao,ML,75.06,clear sky,16.6362,1.637,
675,Kupang,ID,84.78,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
692,Kibala,TD,76.95,clear sky,9.1104,18.3463,hotel safari
695,Tefe,BR,75.22,overcast clouds,-3.3542,-64.7114,Aracati Hotel
697,Kapoeta,SS,80.83,scattered clouds,4.7717,33.5903,Eastgate Hotel
709,Cozumel,MX,80.67,overcast clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
